city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
Utica,NY,65283,43.101,-75.233,10,0,0,0
Waltham,MA,65218,42.375,-71.236,3,0,1,0
Lorain,OH,65211,41.466,-82.175,5,0,1,0
Muncie,IN,65194,40.194,-85.386,2,0,0,0
Cheyenne,WY,65132,41.14,-104.82,1,0,0,0
Burnsville,MN,64317,44.766,-93.278,3,0,0,0
San Clemente,CA,64293,33.428,-117.613,0,0,3,0
Brentwood,CA,64292,37.933,-121.695,5,0,1,0
Bellevue,NE,64176,41.143,-95.911,10,0,0,0
Conway,AR,64134,35.089,-92.441,8,0,0,0
Greenwood,IN,63830,39.614,-86.11,12,0,0,0
Lakewood,WA,63612,47.172,-122.518,6,0,0,0
Coon Rapids,MN,63599,45.146,-93.285,1,0,0,0
Greenwich,CT,63518,41.076,-73.644,5,0,0,0
Taylor,MI,63409,42.241,-83.27,9,0,0,0
Hamilton,OH,63399,39.399,-84.56,17,0,5,0
Millcreek,UT,63380,40.687,-111.863,5,0,0,0
Brookline,MA,63191,42.316,-71.15,2,0,0,0
Santa Cruz,CA,62956,36.974,-122.026,0,0,13,0
Moore,OK,62793,35.338,-97.487,2,0,0,0
Montebello,CA,62640,34.01,-118.108,1,0,0,0
Porterville,CA,62623,36.065,-119.016,0,0,1,0
Revere,MA,62186,42.41,-71.012,2,0,0,0
Chapel Hill,NC,61960,35.913,-79.056,1,0,0,0
Springfield,OR,61851,44.046,-123.022,21,0,1,0
Hendersonville,TN,61753,36.305,-86.62,1,0,0,0
Wellington,FL,61637,26.667,-80.257,9,0,1,0
Pontiac,MI,61606,42.639,-83.293,1,0,1,0
Fairfield,CT,61512,41.175,-73.274,17,0,0,0
San Rafael,CA,61271,37.973,-122.527,0,0,5,0
Plymouth,MA,61217,41.873,-70.611,17,0,1,0
Irvington,NJ,61176,40.722,-74.234,4,0,0,0
Hamden,CT,61169,41.425,-72.915,1,0,0,0
La Mesa,CA,61121,32.765,-117.02,1,0,0,0
Sanford,FL,61051,28.812,-81.268,6,0,0,0
Woodland,CA,61032,38.677,-121.773,10,0,0,0
Gardena,CA,61027,33.882,-118.309,1,0,0,0
Marietta,GA,60972,33.953,-84.55,8,0,0,0
Meriden,CT,60850,41.538,-72.784,2,0,0,0
Bristol,CT,60833,41.681,-72.94,11,0,1,0
Richland,WA,60560,46.275,-119.274,10,0,0,0
Taylorsville,UT,60448,40.664,-111.939,4,0,0,0
Great Falls,MT,60442,47.505,-111.303,1,0,0,0
Hoboken,NJ,60419,40.742,-74.032,1,0,0,0
North Miami,FL,60191,25.89,-80.186,1,0,0,0
Youngstown,OH,60068,41.1,-80.649,2,0,0,0
Santee,CA,60037,32.839,-116.984,2,0,0,0
Caldwell,ID,59996,43.666,-116.687,5,0,0,0
Union,NJ,59728,40.701,-74.263,15,0,0,0
Manchester,CT,59713,41.776,-72.53,19,0,1,0
Medford,MA,59659,42.418,-71.11,6,0,0,0
White Plains,NY,59559,41.034,-73.763,2,0,0,0
Taunton,MA,59408,41.902,-71.093,1,0,1,0
Hempstead,NY,59169,40.709,-73.625,1,0,0,0
St Cloud,FL,58964,28.246,-81.292,3,0,0,0
Margate,FL,58712,26.244,-80.207,0,0,1,0
Springfield,OH,58662,39.925,-83.808,21,0,1,0
Carson City,NV,58639,39.164,-119.767,1,0,0,0
Blue Springs,MO,58603,39.018,-94.278,3,0,0,0
Jackson,NJ,58544,40.097,-74.373,18,0,0,0
Parker,CO,58512,39.518,-104.761,7,0,0,0
Bowie,MD,58329,38.978,-76.742,1,0,0,0
Royal Oak,MI,58211,42.49,-83.144,1,0,0,0
Maricopa,AZ,58125,33.057,-112.048,1,0,0,0
Lancaster,PA,58039,40.038,-76.306,12,0,1,0
Decatur,AL,57938,34.604,-86.985,9,0,0,0
Kettering,OH,57862,39.69,-84.169,0,0,1,0
Bartlett,TN,57786,35.204,-89.869,5,0,0,0
Wylie,TX,57526,33.014,-96.539,1,0,0,0
Weymouth,MA,57437,42.218,-70.937,1,0,1,0
Burlington,NC,57303,36.094,-79.436,18,0,1,0
Berwyn,IL,57250,41.851,-87.793,1,0,0,0
Highland,CA,56999,34.128,-117.209,8,0,0,0
Madison,AL,56933,34.677,-86.752,23,0,0,0
Arcadia,CA,56681,34.136,-118.041,10,0,0,0
Albany,OR,56472,44.635,-123.104,15,0,1,0
Apple Valley,MN,56374,44.732,-93.218,2,0,0,0
DeSoto,TX,56145,32.59,-96.857,6,0,0,0
Ypsilanti,MI,55670,42.2,-83.614,1,0,0,0
Smyrna,GA,55663,33.886,-84.516,5,0,0,0
West Haven,CT,55584,41.275,-72.96,2,0,0,0
Brookhaven,GA,55161,33.861,-84.33,2,0,0,0
Herriman,UT,55144,40.514,-112.033,2,0,0,0
Wayne,NJ,54838,40.948,-74.241,7,0,0,0
Anderson,IN,54788,40.105,-85.678,6,0,0,0
Plainfield,NJ,54586,40.619,-74.421,10,0,0,0
Oak Park,IL,54583,41.887,-87.785,2,0,0,0
Peabody,MA,54481,42.526,-70.927,1,0,0,0
Rocky Mount,NC,54341,35.942,-77.795,1,0,0,0
Pensacola,FL,54312,30.409,-87.214,1,0,0,0
Kentwood,MI,54304,42.869,-85.645,1,0,0,0
Manhattan,KS,54100,39.186,-96.576,2,0,0,0
